name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,7686,4.56s,386.01us,5.49us,390.30us,13.97us,368.63us,494.67us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,89,4.56s,33.81ms,242.08us,33.90ms,409.27us,33.29ms,35.24ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,243,4.56s,12.35ms,40.52us,12.37ms,73.26us,12.21ms,12.64ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,79,4.56s,37.86ms,161.56us,38.10ms,683.13us,37.56ms,40.81ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,10697,4.56s,278.85us,3.46us,280.42us,9.21us,263.48us,433.18us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,67,4.56s,44.69ms,242.53us,44.95ms,776.94us,44.06ms,48.62ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,182,4.56s,16.45ms,47.91us,16.51ms,173.15us,16.34ms,17.60ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,30,4.56s,100.50ms,386.95us,100.52ms,540.89us,99.58ms,101.63ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,2462,4.51s,1.21ms,7.73us,1.22ms,21.00us,1.18ms,1.50ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,240,4.56s,12.45ms,149.11us,12.53ms,322.43us,10.84ms,13.52ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,700,4.56s,4.28ms,22.05us,4.29ms,42.62us,4.19ms,4.55ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,160,4.56s,18.82ms,97.33us,18.78ms,402.67us,16.21ms,20.07ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,44419,4.56s,66.48us,1.14us,67.49us,3.28us,63.58us,130.56us
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,9,4.81s,341.40ms,1.20ms,341.04ms,1.14ms,339.61ms,342.87ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,26,4.61s,115.08ms,390.70us,115.41ms,941.65us,113.53ms,116.99ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,8,4.81s,399.56ms,2.94ms,399.96ms,3.38ms,395.43ms,405.28ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1273,4.56s,2.35ms,31.02us,2.36ms,58.91us,2.08ms,3.08ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,9,4.96s,352.85ms,1.25ms,353.35ms,1.23ms,351.60ms,355.04ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,26,4.61s,117.79ms,239.76us,117.75ms,445.56us,116.84ms,119.33ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,8,4.86s,402.14ms,605.62us,401.76ms,904.83us,400.57ms,402.87ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1287,4.56s,2.32ms,13.51us,2.33ms,43.48us,2.24ms,2.70ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,6,5.31s,593.55ms,2.02ms,587.16ms,10.52ms,572.33ms,596.90ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,7,5.46s,495.92ms,1.15ms,496.22ms,4.26ms,490.57ms,505.31ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,6,5.06s,559.67ms,1.44ms,559.72ms,1.61ms,557.54ms,561.86ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,107,4.56s,28.14ms,173.05us,28.20ms,269.08us,27.78ms,29.02ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,1561,4.51s,1.78ms,12.97us,1.79ms,35.84us,1.74ms,2.17ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,762,4.56s,3.83ms,45.21us,3.90ms,148.10us,3.67ms,5.23ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,1099,4.51s,1.42ms,16.96us,1.42ms,39.85us,1.33ms,1.94ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,938,4.51s,1.74ms,28.68us,1.75ms,54.24us,1.63ms,2.42ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,1500,4.51s,1.85ms,19.04us,1.86ms,48.92us,1.79ms,2.18ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,780,4.51s,3.75ms,77.86us,3.81ms,227.66us,3.33ms,7.21ms
