name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,7466,4.51s,399.70us,5.13us,401.77us,14.46us,335.14us,764.24us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,87,4.56s,35.37ms,1.57ms,34.66ms,1.78ms,31.26ms,38.28ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,332,4.56s,8.80ms,88.55us,9.04ms,405.60us,8.37ms,10.65ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,81,4.56s,36.99ms,189.57us,37.06ms,266.78us,36.65ms,37.72ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,10270,4.56s,290.24us,4.18us,292.08us,9.66us,257.48us,485.77us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,72,4.56s,42.02ms,300.31us,42.04ms,565.02us,41.09ms,44.23ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,223,4.56s,13.47ms,63.64us,13.50ms,196.89us,13.22ms,15.11ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,32,4.66s,95.65ms,605.78us,95.66ms,762.70us,94.40ms,96.99ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,2503,4.56s,1.16ms,22.15us,1.20ms,66.47us,1.10ms,2.24ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,243,4.56s,12.35ms,106.96us,12.36ms,175.72us,11.91ms,12.92ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,847,4.56s,3.54ms,22.56us,3.54ms,37.84us,3.42ms,3.71ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,169,4.56s,17.79ms,92.28us,17.84ms,183.69us,17.52ms,18.55ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,46777,4.56s,63.50us,239.00ns,64.08us,2.58us,60.52us,257.94us
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,9,4.96s,354.43ms,2.33ms,347.64ms,15.52ms,316.35ms,358.66ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,36,4.56s,83.36ms,168.02us,83.39ms,265.51us,82.98ms,84.12ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,9,4.96s,352.14ms,934.68us,351.96ms,1.28ms,349.25ms,353.57ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1226,4.56s,2.44ms,31.40us,2.45ms,54.47us,2.32ms,2.75ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,10,4.81s,316.62ms,1.57ms,317.68ms,3.16ms,314.81ms,326.37ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,37,4.66s,83.26ms,281.00us,83.29ms,294.02us,82.82ms,83.77ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,9,5.21s,354.56ms,4.33ms,369.91ms,20.78ms,350.22ms,396.82ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1346,4.56s,2.22ms,12.97us,2.23ms,42.92us,2.14ms,2.78ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,6,5.11s,568.72ms,5.45ms,556.13ms,22.47ms,516.31ms,574.57ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,7,4.91s,431.24ms,1.18ms,431.80ms,1.64ms,429.97ms,434.76ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,6,5.26s,589.91ms,2.09ms,581.49ms,21.85ms,533.22ms,597.93ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,109,4.56s,27.61ms,291.94us,27.73ms,496.92us,27.05ms,30.36ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,1468,4.51s,1.88ms,26.33us,1.89ms,50.39us,1.57ms,2.43ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,854,4.51s,3.48ms,45.86us,3.48ms,139.85us,2.95ms,4.47ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,1215,4.51s,1.31ms,10.69us,1.31ms,34.59us,1.26ms,1.72ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,1007,4.51s,1.63ms,23.36us,1.64ms,53.12us,1.56ms,2.28ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,1606,4.51s,1.71ms,16.04us,1.72ms,68.49us,1.54ms,2.93ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,843,4.51s,3.50ms,47.41us,3.53ms,91.47us,3.32ms,4.35ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,547,4.51s,3.79ms,56.09us,3.81ms,120.27us,3.61ms,4.75ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,317,4.56s,6.79ms,114.21us,6.82ms,226.49us,6.10ms,9.12ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,32514634,3,6.06s,1.24s,2.49ms,1.24s,4.92ms,1.23s,1.24s
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,32514634,7,5.31s,476.64ms,0.99ms,477.43ms,2.06ms,475.34ms,481.30ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,32514634,2,4.76s,1.53s,72.01ms,1.53s,72.01ms,1.46s,1.61s
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,32514634,121,4.61s,24.90ms,127.45us,24.97ms,285.58us,24.65ms,26.79ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,32514634,6,4.61s,508.00ms,1.40ms,507.86ms,1.59ms,505.21ms,509.83ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,32514634,14,4.86s,227.97ms,338.76us,228.00ms,638.06us,226.78ms,229.10ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,32514634,5,4.91s,608.59ms,76.87us,608.48ms,796.97us,607.04ms,609.51ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,32514634,110,4.56s,26.98ms,253.44us,27.30ms,1.06ms,24.68ms,30.84ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,229885,4.67s,11.76us,187.00ns,11.91us,831.00ns,9.86us,133.40us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,117333,4.56s,23.37us,1.03us,23.97us,8.18us,18.74us,300.64us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,197319,4.61s,13.50us,294.00ns,13.60us,1.08us,10.51us,102.88us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,39910,4.56s,68.27us,1.16us,68.89us,3.68us,59.44us,230.30us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,150600,10,4.71s,314.22ms,1.04ms,313.55ms,1.61ms,311.10ms,316.35ms
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,150600,134,4.56s,22.46ms,130.75us,22.50ms,206.03us,22.07ms,23.15ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,4664,4.51s,216.65us,8.38us,217.50us,16.40us,189.96us,456.95us
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,3903,4.51s,329.53us,9.79us,327.76us,19.41us,278.59us,519.66us
curated/05-lexer-veryl/multi,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,150600,1015,4.56s,2.94ms,40.77us,2.96ms,64.99us,2.80ms,3.26ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,107,451211,4.77s,6.52us,86.00ns,6.61us,568.00ns,5.98us,74.66us
