name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,7526,4.56s,395.86us,4.87us,398.59us,15.01us,347.37us,1.19ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,82,4.56s,36.60ms,327.51us,36.74ms,631.95us,35.93ms,39.55ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,271,4.56s,11.08ms,63.45us,11.11ms,106.69us,10.91ms,11.48ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,75,4.56s,40.09ms,256.43us,40.14ms,388.07us,39.40ms,41.06ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,10313,4.56s,288.19us,4.66us,290.84us,12.61us,251.25us,487.77us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,64,4.56s,47.28ms,398.80us,47.17ms,833.23us,43.67ms,49.04ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,195,4.56s,15.49ms,135.29us,15.41ms,296.91us,14.18ms,17.40ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,29,4.66s,105.67ms,1.49ms,105.99ms,1.99ms,102.78ms,110.27ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,2376,4.56s,1.26ms,13.55us,1.26ms,26.01us,1.21ms,1.59ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,228,4.56s,13.17ms,134.01us,13.21ms,219.58us,12.79ms,14.08ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,834,4.56s,3.59ms,23.13us,3.60ms,43.13us,3.51ms,4.07ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,155,4.56s,19.37ms,174.94us,19.44ms,260.63us,18.94ms,20.21ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,40397,4.56s,71.09us,1.80us,74.20us,21.74us,60.84us,478.70us
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,9,5.06s,359.55ms,305.69us,359.40ms,871.36us,357.49ms,360.95ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,34,4.66s,88.55ms,296.64us,88.66ms,584.89us,87.89ms,91.06ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,8,4.71s,391.79ms,1.17ms,392.33ms,1.64ms,390.39ms,394.77ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1248,4.56s,2.40ms,27.74us,2.40ms,47.84us,2.29ms,2.76ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,9,5.16s,368.25ms,1.11ms,368.70ms,3.58ms,360.75ms,373.36ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,36,4.66s,85.52ms,280.96us,85.51ms,304.70us,84.95ms,86.09ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,8,4.91s,404.42ms,1.21ms,404.83ms,2.83ms,399.76ms,410.22ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1234,4.56s,2.43ms,30.88us,2.43ms,50.86us,2.32ms,2.82ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,5,4.91s,610.19ms,2.07ms,609.86ms,1.97ms,607.50ms,612.26ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,7,5.26s,476.68ms,367.26us,476.49ms,1.18ms,474.13ms,478.30ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,6,5.21s,575.49ms,1.07ms,576.08ms,2.54ms,573.23ms,581.27ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,106,4.56s,28.41ms,313.69us,28.45ms,402.88us,27.86ms,29.64ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,1503,4.51s,1.85ms,18.69us,1.86ms,67.44us,1.56ms,3.00ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,849,4.51s,3.48ms,36.62us,3.50ms,89.01us,3.33ms,5.21ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,1056,4.51s,1.43ms,23.91us,1.44ms,60.70us,1.24ms,2.01ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,952,4.51s,1.76ms,26.58us,1.77ms,48.15us,1.66ms,1.98ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,1451,4.51s,1.92ms,27.09us,1.92ms,45.20us,1.73ms,2.27ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,818,4.51s,3.62ms,51.02us,3.63ms,93.56us,3.46ms,4.26ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,510,4.51s,3.72ms,72.25us,3.75ms,263.60us,3.36ms,8.36ms
