name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,7510,4.56s,398.10us,5.06us,399.41us,9.47us,378.12us,532.47us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,83,4.56s,36.46ms,501.14us,36.55ms,818.70us,34.50ms,38.58ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,235,4.56s,12.76ms,62.62us,12.77ms,106.61us,12.57ms,13.29ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,73,4.61s,41.34ms,391.91us,41.47ms,600.23us,40.61ms,43.61ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,9849,4.56s,302.90us,4.35us,304.54us,10.57us,285.38us,504.49us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,67,4.61s,45.38ms,287.94us,45.44ms,438.08us,44.32ms,46.52ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,172,4.56s,17.49ms,79.75us,17.52ms,156.41us,17.26ms,18.54ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,28,4.61s,109.53ms,749.42us,109.31ms,1.07ms,107.22ms,111.24ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,2374,4.51s,1.26ms,14.28us,1.26ms,24.62us,1.21ms,1.49ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,230,4.51s,13.01ms,164.09us,13.04ms,229.83us,12.52ms,13.65ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,691,4.56s,4.33ms,28.99us,4.35ms,53.42us,4.24ms,4.58ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,151,4.56s,19.94ms,168.23us,19.99ms,268.42us,19.48ms,20.90ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,43488,4.56s,68.01us,491.00ns,68.93us,3.25us,64.58us,231.03us
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,8,4.66s,385.21ms,1.39ms,385.42ms,2.02ms,382.73ms,388.66ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1243,4.56s,2.41ms,27.37us,2.41ms,57.14us,2.30ms,3.54ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,9,5.06s,355.32ms,1.25ms,355.68ms,2.21ms,353.00ms,360.98ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,24,4.66s,126.76ms,1.00ms,125.83ms,2.27ms,119.62ms,129.55ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,8,4.81s,397.28ms,2.07ms,397.33ms,2.86ms,392.06ms,401.93ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1236,4.56s,2.41ms,28.73us,2.43ms,60.06us,2.30ms,3.16ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,5,4.86s,605.25ms,5.29ms,605.70ms,6.59ms,594.23ms,613.54ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,6,5.01s,550.51ms,2.96ms,551.31ms,3.66ms,547.47ms,557.07ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,5,4.96s,617.27ms,1.48ms,616.59ms,2.26ms,612.61ms,618.78ms
curated/03-date/unicode-captures,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,110,4.56s,27.28ms,192.14us,27.30ms,323.65us,26.66ms,28.11ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,1508,4.51s,1.84ms,20.43us,1.85ms,39.80us,1.69ms,2.21ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,754,4.51s,3.87ms,68.56us,3.93ms,166.56us,3.41ms,5.14ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,1226,4.51s,1.50ms,26.90us,1.50ms,46.05us,1.39ms,1.81ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,949,4.51s,1.78ms,24.03us,1.78ms,47.40us,1.67ms,2.14ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,1492,4.51s,1.87ms,20.85us,1.87ms,39.18us,1.79ms,2.15ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,759,4.51s,3.86ms,71.42us,3.91ms,149.29us,3.69ms,4.56ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,515,4.51s,3.70ms,40.61us,3.71ms,65.10us,3.56ms,3.98ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,328,4.51s,6.93ms,75.97us,6.94ms,121.02us,6.69ms,7.39ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,32514634,3,6.56s,1.29s,9.52ms,1.29s,8.98ms,1.28s,1.30s
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,32514634,6,5.41s,598.01ms,2.33ms,597.82ms,2.52ms,594.62ms,601.85ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,32514634,2,4.91s,1.62s,3.35ms,1.62s,3.35ms,1.62s,1.62s
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,32514634,111,4.61s,27.28ms,243.89us,27.27ms,314.91us,26.71ms,28.06ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,32514634,6,4.86s,530.07ms,2.58ms,530.23ms,2.43ms,526.77ms,533.38ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,32514634,12,4.76s,260.80ms,1.28ms,260.86ms,1.48ms,257.59ms,262.77ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,32514634,5,5.31s,659.68ms,1.58ms,658.82ms,2.43ms,655.00ms,661.26ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,32514634,104,4.56s,28.92ms,278.54us,28.96ms,338.26us,28.38ms,29.84ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,215878,4.61s,13.17us,242.00ns,13.33us,807.00ns,11.97us,59.76us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,109530,4.56s,24.57us,601.00ns,25.49us,8.87us,19.23us,434.31us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,202441,4.61s,13.08us,245.00ns,13.25us,836.00ns,10.71us,112.41us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,36134,4.56s,76.04us,1.54us,76.70us,3.51us,69.76us,164.12us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,150600,10,4.61s,306.03ms,2.07ms,306.22ms,2.45ms,302.36ms,309.38ms
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,150600,136,4.56s,22.10ms,328.23us,22.21ms,474.88us,20.60ms,23.21ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,4654,4.51s,214.81us,3.36us,217.64us,11.61us,201.87us,384.79us
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,3728,4.51s,339.85us,6.22us,343.29us,15.74us,319.04us,634.39us
curated/05-lexer-veryl/multi,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,150600,1029,4.51s,2.91ms,37.73us,2.92ms,62.18us,2.77ms,3.22ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,107,365066,4.72s,8.05us,187.00ns,8.17us,751.00ns,6.00us,109.28us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,107,1000000,4.19s,2.07us,33.00ns,2.10us,254.00ns,1.88us,59.26us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,107,387790,4.72s,7.59us,128.00ns,7.69us,536.00ns,6.96us,40.35us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,107,1000000,1.03s,215.00ns,2.00ns,220.00ns,71.00ns,205.00ns,14.53us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,102,458922,4.77s,6.40us,144.00ns,6.49us,611.00ns,4.81us,42.32us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,102,1000000,3.79s,1.66us,27.00ns,1.69us,192.00ns,1.48us,28.51us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,102,476064,4.77s,6.13us,108.00ns,6.26us,835.00ns,4.75us,154.07us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,102,1000000,784.89ms,74.00ns,1.00ns,76.00ns,36.00ns,67.00ns,9.94us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,10001,4989,4.51s,598.47us,10.36us,601.23us,19.56us,485.82us,834.32us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,10001,18904,4.56s,157.78us,3.47us,158.64us,5.92us,139.88us,215.05us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,10001,5098,4.51s,585.75us,8.73us,588.48us,18.72us,554.12us,833.50us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,10001,1000000,888.33ms,153.00ns,2.00ns,156.00ns,51.00ns,143.00ns,13.80us
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1913704,30,4.61s,99.60ms,647.28us,100.23ms,2.02ms,97.89ms,106.08ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1913704,46,4.56s,66.01ms,162.38us,66.07ms,382.62us,65.45ms,67.49ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1913704,45,4.66s,67.79ms,392.54us,67.76ms,593.09us,66.63ms,68.94ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1913704,446,4.56s,6.72ms,53.58us,6.74ms,95.22us,6.57ms,7.18ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,135766,4.61s,19.43us,354.00ns,19.63us,1.01us,16.91us,49.86us
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,79867,4.56s,33.51us,709.00ns,34.69us,10.70us,26.92us,452.68us
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,106117,4.56s,24.50us,419.00ns,24.70us,1.46us,19.64us,205.77us
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,64323,4.56s,36.89us,648.00ns,37.31us,1.85us,33.83us,68.61us
