name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,137,4.56s,21.96ms,421.22us,21.93ms,728.86us,18.32ms,23.52ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,1649,4.51s,1.81ms,20.83us,1.82ms,83.50us,1.73ms,3.97ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,138,4.56s,21.72ms,223.13us,21.85ms,505.45us,21.16ms,23.58ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,74618,4.56s,39.81us,291.00ns,40.15us,1.88us,37.45us,101.98us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,102,4.56s,29.22ms,284.06us,29.48ms,809.67us,28.51ms,31.88ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,445,4.56s,6.72ms,53.54us,6.74ms,197.49us,6.26ms,8.88ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,118,4.56s,25.54ms,204.72us,25.63ms,565.77us,24.71ms,29.30ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,27115,4.56s,109.23us,2.11us,110.59us,4.84us,103.36us,198.38us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,126,4.56s,23.96ms,196.01us,23.95ms,283.51us,23.25ms,24.78ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,611,4.56s,4.91ms,43.66us,4.92ms,80.38us,4.74ms,5.41ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,72,4.56s,41.63ms,597.77us,41.87ms,0.98ms,39.09ms,43.68ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,42197,4.56s,69.90us,1.04us,71.04us,3.86us,65.61us,177.43us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,108,4.56s,27.89ms,421.03us,27.83ms,818.06us,24.47ms,30.06ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,436,4.56s,6.85ms,54.55us,6.89ms,112.39us,6.68ms,7.42ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,68,4.56s,44.43ms,353.54us,44.72ms,939.69us,42.63ms,47.53ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,11776,4.56s,252.72us,5.01us,254.73us,10.76us,234.07us,410.36us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,346,4.56s,8.66ms,68.10us,8.68ms,155.34us,8.35ms,10.16ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,1909,4.51s,1.57ms,14.25us,1.57ms,31.09us,1.43ms,1.97ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,157,4.56s,19.20ms,194.33us,19.18ms,331.90us,18.23ms,20.68ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,96834,4.61s,30.39us,141.00ns,30.93us,1.63us,26.59us,72.91us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,25,4.71s,124.55ms,1.37ms,123.22ms,3.25ms,116.51ms,127.19ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,258,4.56s,11.64ms,81.53us,11.64ms,111.77us,11.31ms,11.98ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,126,4.56s,23.83ms,152.09us,23.86ms,234.31us,23.36ms,24.40ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,30656,4.56s,96.47us,2.16us,97.81us,4.60us,91.10us,200.83us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,22,4.61s,139.19ms,1.41ms,138.90ms,1.87ms,134.18ms,141.61ms
